1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10744.4040,10744.4040,10745.3156,10745.3156,10745.3156,10745.3156,10745.3156,10745.3156,10748.2853,10748.2853,10748.2853,10748.2853,10748.2853,10748.2853,10750.2946,10750.2946,10750.2946,10750.2946,10750.2946,10750.2946
10751.8647,10751.8647,10751.8647,10751.8647,10751.8647,10751.8647,10753.1885,10753.1885,10753.1885,10753.1885,10753.1885,10753.1885,10754.2881,10754.2881,10754.2881,10754.2881,10754.2881,10754.2881,10756.8724,10756.8724
10756.8724,10756.8724,10756.8724,10756.8724,10761.5656,10761.5656,10761.5656,10761.5656,10761.5656,10761.5656,10766.4631,10766.4631,10766.4631,10766.4631,10766.4631,10766.4631,10764.4881,10764.4881,10764.4881,10764.4881
10764.4881,10764.4881,10752.5747,10752.5747,10752.5747,10752.5747,10752.5747,10752.5747,10753.2773,10753.2773,10753.2773,10753.2773,10753.2773,10753.2773,10745.2102,10745.2102,10745.2102,10745.2102,10745.2102,10745.2102
10745.2261,10745.2261,10745.2261,10745.2261,10745.2261,10745.2261,10751.3107,10751.3107,10751.3107,10751.3107,10751.3107,10756.9080,10756.9080,10756.9080,10756.9080,10756.9080,10756.9080,10754.6110,10754.6110,10754.6110
10754.6110,10754.6110,10754.6110,10754.4764,10754.4764,10754.4764,10754.4764,10754.4764,10754.4764,10750.1174,10750.1174,10750.1174,10750.1174,10750.1174,10750.1174,10749.1055,10749.1055,10749.1055,10749.1055,10749.1055
10749.1055,10743.6610,10743.6610,10743.6610,10743.6610,10743.6610,10743.6610,10744.0498,10744.0498,10744.0498,10744.0498,10744.0498,10744.0498,10749.2844,10749.2844,10749.2844,10749.2844,10749.2844,10749.2844,10751.9475
10751.9475,10751.9475,10751.9475,10751.9475,10751.9475,10749.1705,10749.1705,10749.1705,10749.1705,10749.1705,10749.1705,10751.2939,10751.2939,10751.2939,10751.2939,10751.2939,10751.2939,10753.6145,10753.6145,10753.6145
10753.6145,10753.6145,10753.6145,10753.7222,10753.7222,10753.7222,10753.7222,10753.7222,10760.4601,10760.4601,10760.4601,10760.4601,10760.4601,10760.4601,10757.4582,10757.4582,10757.4582,10757.4582,10757.4582,10757.4582
10760.5998,10760.5998,10760.5998,10760.5998,10760.5998,10760.5998,10761.7899,10761.7899,10761.7899,10761.7899,10761.7899,10761.7899,10766.0526,10766.0526,10766.0526,10766.0526,10766.0526,10766.0526,10764.8709,10764.8709
