1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-12.2613,-12.2613,-12.2613,-12.2613,-12.2613,-4.302,-4.302,-4.302,-4.302,-4.302,-4.302,0.0,0.0,0.0,0.0
-4.9646,-4.9646,-4.9646,-2.5474,-2.5474,-2.5474,-2.5474,-2.5474,-2.5474,-3.3888,-3.3888,-3.3888,-3.3888,-3.3888,-3.3888
1.3695,0.598,0.598,0.598,0.598,0.598,0.598,-0.829,-0.829,-0.829,-0.829,-0.829,-0.829,0.0,0.0
-1.5496,-1.5496,-1.5496,-1.5496,-1.5496,-1.6334,-1.6334,-1.6334,-1.6334,-1.6334,-1.6334,0.0,0.0,0.0,0.0
2.5834,2.5834,2.5834,4.6652,4.6652,4.6652,4.6652,4.6652,4.6652,-0.2613,-0.2613,-0.2613,-0.2613,-0.2613,0.0
-3.3588,-1.9035,-1.9035,-1.9035,-1.9035,-1.9035,2.0035,2.0035,2.0035,2.0035,2.0035,2.0035,2.0035,0.0,0.0
1.6162,1.6162,1.6162,1.6162,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0,0.0,0.0,0.0,0.0
1.1424,1.1424,1.1424,1.4008,1.4008,1.4008,1.4008,1.4008,1.4008,0.5388,0.5388,0.5388,0.5388,0.0,0.0
-0.9825,-0.9825,-0.9825,-0.9825,-0.9825,0.6529,0.6529,0.6529,0.6529,0.6529,0.6529,0.6529,0.0,0.0,0.0
5.3321,5.3321,5.3321,4.4399,4.4399,4.4399,4.4399,4.4399,4.4399,-0.2545,-0.2545,-0.2545,-0.2545,-0.2545,-0.2545
1.8652,1.9689,1.9689,1.9689,1.9689,1.9689,1.9689,-4.4318,-4.4318,-4.4318,-4.4318,-4.4318,-4.4318,0.0,0.0
7.808,7.808,7.808,7.808,7.808,2.9762,2.9762,2.9762,2.9762,2.9762,2.9762,0.0,0.0,0.0,0.0
0.9289,0.9289,0.9289,2.0896,2.0896,2.0896,2.0896,2.0896,2.0896,-0.5727,-0.5727,-0.5727,-0.5727,-0.5727,-0.5727
-12.3183,-11.0499,-11.0499,-11.0499,-11.0499,-11.0499,-8.2151,-8.2151,-8.2151,-8.2151,-8.2151,-8.2151,0.0,0.0,0.0
0.4645,0.4645,0.4645,0.4645,0.496,0.496,0.496,0.496,0.496,0.496,0.0,0.0,0.0,0.0,0.0
5.9104,5.9104,4.3016,4.3016,4.3016,4.3016,4.3016,4.3016,-0.6419,-0.6419,-0.6419,-0.6419,-0.6419,-0.6419,0.0
-2.1075,-2.1075,-2.1075,-2.1075,-2.1075,-2.1075,0.6034,0.6034,0.6034,0.6034,0.6034,0.6034,0.0,0.0,0.0
7.0191,7.0191,7.0191,7.0191,0.6211,0.6211,0.6211,0.6211,0.6211,0.6211,0.0,0.0,0.0,0.0,0.0
-0.6875,-0.6875,0.5735,0.5735,0.5735,0.5735,0.5735,0.5735,0.9215,0.9215,0.9215,0.9215,0.9215,0.9215,0.0
2.8337,2.8337,2.8337,2.8337,2.8337,2.6209,2.6209,2.6209,2.6209,2.6209,2.6209,0.0,0.0,0.0,0.0
-0.7789,-0.7789,-0.7789,-1.4124,-1.4124,-1.4124,-1.4124,-1.4124,-1.4124,-1.0673,-1.0673,-1.0673,-1.0673,-1.0673,-1.0673
